id,title,group,release_date,no_of_discs,wiki_link,recording_date
1,Absent Lovers: Live in Montreal,King Crimson,6/23/98,2,http://en.wikipedia.org/wiki/Absent_Lovers:_Live_in_Montreal,7/11/84
2,B'Boom: Live in Argentina,King Crimson,8/22/95,2,http://en.wikipedia.org/wiki/B%27Boom:_Live_in_Argentina,
3,The Beat Club: Bremen,King Crimson,2/1/99,1,"http://en.wikipedia.org/wiki/The_Beat_Club,_Bremen",10/17/72
4,Earthbound,King Crimson,6/9/72,1,http://en.wikipedia.org/wiki/Earthbound_(King_Crimson_album),
5,Elektrik: Live in Japan,King Crimson,10/1/03,1,http://en.wikipedia.org/wiki/EleKtrik:_Live_in_Japan,4/16/03
6,Epitaph,King Crimson,1/13/97,4,http://en.wikipedia.org/wiki/Epitaph_(King_Crimson_album),
7,The Great Deceiver,King Crimson,10/30/92,4,http://en.wikipedia.org/wiki/The_Great_Deceiver_(King_Crimson_album),
8,Live at Plymouth Guildhall,King Crimson,12/1/00,2,http://en.wikipedia.org/wiki/King_Crimson_Live_at_Plymouth_Guildhall,5/11/71
9,Live at Summit Studios,King Crimson,2/1/00,1,http://en.wikipedia.org/wiki/King_Crimson_Live_at_Summit_Studios,3/12/72
10,"Live in Hyde Park, London",King Crimson,7/1/02,1,"http://en.wikipedia.org/wiki/King_Crimson_Live_in_Hyde_Park,_London",7/5/69
11,Live in Mainz,King Crimson,2/1/01,1,http://en.wikipedia.org/wiki/King_Crimson_Live_in_Mainz,3/30/74
12,On Broadway,King Crimson,6/1/99,2,http://en.wikipedia.org/wiki/King_Crimson_on_Broadway,
13,Ladies of the Road,King Crimson,11/12/02,2,http://en.wikipedia.org/wiki/Ladies_of_the_Road,
14,Level Five,King Crimson,11/9/01,1,http://en.wikipedia.org/wiki/Level_Five_(EP),
15,Live at Cap D'Adge,King Crimson,4/1/99,1,http://en.wikipedia.org/wiki/Live_at_Cap_D%27Agde,
16,Live at Fillmore East,King Crimson,2/1/04,1,http://en.wikipedia.org/wiki/Live_at_Fillmore_East_(King_Crimson_album),
17,Live in Jacksonville,King Crimson,12/1/98,1,http://en.wikipedia.org/wiki/Live_at_Jacksonville,2/26/72,
18,Live at Moles Club,King Crimson,6/1/00,1,"http://en.wikipedia.org/wiki/Live_at_Moles_Club,_Bath",
19,Live at the Jazz CafŽ,ProjeKct One,12/1/98,1,http://en.wikipedia.org/wiki/Live_at_the_Jazz_Caf%C3%A9,
20,Live at the Marquee,King Crimson,10/1/98,1,http://en.wikipedia.org/wiki/Live_at_the_Marquee_(King_Crimson_album),
21,Live at the Zoom Club,King Crimson,5/1/02,2,http://en.wikipedia.org/wiki/Live_at_the_Zoom_Club,
22,Live in Austin,ProjeKct Three,10/1/04,1,"http://en.wikipedia.org/wiki/Live_in_Austin,_TX_(ProjeKct_Three_album)",3/25/99
23,Live in Berkeley,King Crimson,5/1/01,1,"http://en.wikipedia.org/wiki/Live_in_Berkeley,_CA",8/13/82
24,Live in Brighton,King Crimson,2/1/05,2,http://en.wikipedia.org/wiki/Live_in_Brighton,10/16/71
25,Live in Central Park,King Crimson,4/1/00,1,"http://en.wikipedia.org/wiki/Live_in_Central_Park,_NYC",4/1/74
26,Live in Detroit,King Crimson,10/1/01,2,"http://en.wikipedia.org/wiki/Live_in_Detroit,_MI",11/13/71
27,Live in Guildford,King Crimson,10/1/03,1,http://en.wikipedia.org/wiki/Live_in_Guildford,11/13/72
28,Live in Heidelberg,King Crimson,9/1/04,1,http://en.wikipedia.org/wiki/Live_in_Heidelberg,3/29/74
29,Live in Nashville,King Crimson,2/1/02,1,"http://en.wikipedia.org/wiki/Live_in_Nashville,_TN",11/9/01
30,Live in Northampton,ProjeKct Two,6/1/01,1,"http://en.wikipedia.org/wiki/Live_in_Northampton,_MA",4/1/98
31,Live in Orlando,King Crimson,6/1/03,2,"http://en.wikipedia.org/wiki/Live_in_Orlando,_FL",2/27/72
32,Live in Philadelphia,King Crimson,5/1/04,1,"http://en.wikipedia.org/wiki/Live_in_Philadelphia,_PA",7/30/82
33,Live in San Francisco,ProjeKct Four,8/1/99,1,http://en.wikipedia.org/wiki/Live_in_San_Francisco_(ProjeKct_Four_album),11/1/98
34,Live in Warsaw,King Crimson,6/1/05,2,"http://en.wikipedia.org/wiki/Live_in_Warsaw,_Poland",6/11/00
35,Masque,ProjeKct Three,8/18/99,1,http://en.wikipedia.org/wiki/Masque_(King_Crimson_album),
36,The Night Watch,King Crimson,6/20/1997,2,http://en.wikipedia.org/wiki/The_Night_Watch_(album),11/23/73
37,Thrakattak,King Crimson,5/21/96,1,http://en.wikipedia.org/wiki/Thrakattak,
38,USA,King Crimson,5/3/75,2,http://en.wikipedia.org/wiki/USA_(album),6/28/74
39,VROOOM VROOOM,King Crimson,11/13/01,2,http://en.wikipedia.org/wiki/Vrooom_Vrooom,